m.z,Intensity,Relative,Resolution
410.0261,15946.9,0.21,207558.2
216.0278,14207.4,0.19,266870.34
121.0509,14004.1,0.18,374552.38
204.0877,10630,0.14,281140.13
447.3472,9611,0.13,178356.28
162.0771,9604.2,0.13,303317.91
186.0771,9183.3,0.12,277488.38
159.0663,8325.7,0.11,315079.91
136.0627,8159.8,0.11,341321.56
193.0493,7824.3,0.1,282771.13
108.0429,7672.9,0.1,376314.22
149.0694,7369.3,0.1,328089.69
312.0493,7119.7,0.09,205694.11
370.9928,7103.2,0.09,205483.38
174.0772,5198.2,0.07,283614.09
583.4059,5077,0.07,143710.56
135.0541,5054.7,0.07,301721.19
105.0446,4897.1,0.06,371424.13
106.0399,4241.2,0.06,370410.81
187.0612,3900.6,0.05,267326.59
110.0348,3743.3,0.05,384767.38
529.0614,3580.3,0.05,159254.16
176.0928,3018.8,0.04,275931.84
133.051,2973.2,0.04,331970.22
136.0436,2604.5,0.03,263518.97
137.0646,2603.2,0.03,252434.39
190.072,2590.8,0.03,262685.38
136.0791,2569.1,0.03,155387.06
132.0557,2503.2,0.03,319039.44
448.3506,2463.1,0.03,171203.47
136.0433,2449.3,0.03,167799
202.0721,2385.5,0.03,245450.44
136.0439,2344,0.03,197443.7
166.0721,2196.4,0.03,261222.42
81.0321,1998.9,0.03,434910.94
161.0456,1997.9,0.03,286274.41
335.0641,1980.9,0.03,201557.31
176.9944,1930.8,0.03,262895.56
136.1133,1900.4,0.03,176427.23
136.0095,1850.3,0.02,153249.25
426.0813,1846.5,0.02,191784.13
131.0352,1826.7,0.02,320305.38
136.0787,1809.2,0.02,228391.36
136.0797,1791.1,0.02,164214.05
415.0306,1783.2,0.02,169901.2
160.0616,1766,0.02,287265.56
150.0772,1733.7,0.02,278571.59
136.0844,1631.7,0.02,181283.28
543.3686,1628.1,0.02,143907.22
135.0667,1598.8,0.02,310747.09
176.0564,1597.7,0.02,256846.81
136.0696,1582.2,0.02,294751.69
106.0286,1580.9,0.02,342386.03
136.0535,1518.4,0.02,218516.58
189.017,1503.3,0.02,275166.78
93.0446,1393.5,0.02,390024.28
152.0327,1352.6,0.02,278226.28
136.038,1331.4,0.02,133622.27
328.1043,1329.3,0.02,206162.52
136.0516,1328.7,0.02,275812.41
428.0302,1319.3,0.02,643502.19
136.0528,1318.8,0.02,203466.39
181.0592,1318.3,0.02,266660.13
136.0714,1314.5,0.02,342836.59
136.0703,1294.3,0.02,312005.47
136.0783,1265.3,0.02,237709.8
136.0519,1264.3,0.02,213683.89
136.0707,1258.7,0.02,261204.44
136.0719,1205.2,0.02,236860.08
136.0504,1203,0.02,345734.03
136.0509,1189,0.02,215984.52
147.0663,1157.3,0.02,287026.91
136.0544,1127.3,0.01,279453.19
219.0761,1112.7,0.01,250948.55
136.0726,1104.5,0.01,273938.38
389.0035,1092.5,0.01,174824.48
136.0447,1075.5,0.01,279053.13
149.0457,1074,0.01,315136.78
81.0447,1054.4,0.01,391563.41
136.0729,1043.2,0.01,72473.17
525.0604,1035.1,0.01,159144.53
136.0687,1023.4,0.01,250491.25
178.9502,1021.6,0.01,248859.23
135.0534,997.3,0.01,309619.41
429.0394,997.1,0.01,211584.97
136.0496,994.5,0.01,342320.94
120.0557,976.5,0.01,331723.53
145.0507,975.1,0.01,292474.81
428.0231,951.1,0.01,161271.22
136.0493,931.8,0.01,268716.34
83.0239,923.6,0.01,395732.56
151.0613,904.6,0.01,292711.72
136.0737,888.1,0.01,160283.59
136.0489,884.6,0.01,300818.25
268.1037,876.5,0.01,192314.44
136.0467,870.6,0.01,145643.5
136.0474,868,0.01,311751
116.995,864,0.01,333730
136.0482,859.7,0.01,373793.25
169.0507,858,0.01,281864.19
122.035,856.8,0.01,323468.66
136.0734,851.8,0.01,293963.81
136.085,851,0.01,296277.06
136.0764,806.7,0.01,301163.28
136.0748,803.8,0.01,197389.91
80.0243,794.8,0.01,405188.63
165.0544,792.4,0.01,279010.84
136.0755,739.2,0.01,196803.73
198.0173,720.1,0.01,250861.84
152.9944,715.8,0.01,267270.44
173.0694,705.7,0.01,252074.95
124.0394,699,0.01,319914.09
118.0402,698.3,0.01,331614.72
511.0509,697.3,0.01,155200.52
95.0239,695.6,0.01,349466.44
584.4088,692.9,0.01,158854.25
136.0767,680.8,0.01,273121.41
136.0752,672.8,0.01,288434.22
123.0666,650.1,0.01,331842.56
136.0775,640.1,0.01,384743.28
150.0661,635.4,0.01,278969.53
136.0771,629.8,0.01,410358.34
543.0709,622.5,0.01,144910.94
136.082,617.7,0.01,450309.59
136.0455,616.8,0.01,257847.52
136.055,607.5,0.01,349951
175.0612,603.9,0.01,271837.91
97.0276,601.5,0.01,928798.94
147.0762,596.2,0.01,299801.38
135.8534,592,0.01,416952.41
160.0504,588,0.01,291093
137.0584,574.1,0.01,387281.22
317.0537,573.1,0.01,204132.77
273.0154,573.1,0.01,220523.27
157.0507,569.6,0.01,280175.16
136.0458,565.7,0.01,343239.66
111.0314,562.6,0.01,352523
115.0391,559.5,0.01,346722.91
136.0599,558.4,0.01,346449.47
139.0384,546.9,0.01,426993
108.0555,536.4,0.01,329351.59
136.041,526.2,0.01,479554.06
122.0588,523.2,0.01,307297.41
136.0778,522.9,0.01,224209.91
136.0391,517.2,0.01,280885.34
136.0417,515.9,0.01,388248.16
136.0421,508,0.01,350477.09
233.0858,498.9,0.01,279383.53
136.0937,492.9,0.01,222962.45
136.0839,492.5,0.01,259183.59
91.0291,490.3,0.01,393602.84
136.0809,483.7,0.01,388895.16
119.0327,477.7,0.01,188092.25
136.0835,474.6,0.01,319344.28
136.0812,472.9,0.01,400282.16
177.0768,469.5,0.01,263085.84
136.0358,457.8,0.01,419738.47
136.0861,456.3,0.01,299530.16
136.0369,454.9,0.01,391490.72
136.0394,451.9,0.01,318401.81
274.9711,450.6,0.01,235172.55
137.0592,449.4,0.01,449458.41
136.0402,446.6,0.01,357639.34
136.0293,441.1,0.01,307260.56
136.029,435.4,0.01,386905.28
136.0361,434.9,0.01,440603.09
136.0873,431.4,0.01,396985.78
149.0232,413.7,0.01,285926.66
136.0824,404.2,0.01,317161.47
97.0396,403.8,0.01,308489.94
136.0816,399.9,0.01,331341.75
307.1907,398.9,0.01,204586.3
137.0581,394.4,0.01,411276.22
142.0398,389.2,0.01,307164.72
107.0477,387.8,0.01,342453.97
136.0414,385.6,0.01,263594.41
136.27,383,0.01,393486.72
136.0398,380.6,0.01,430688.13
