mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,id,mz.cont,source
760.0783563,760.0773315,760.0797729,1301.62,1291.56,1315.19,15339218.94,15338622.32,2294202.5,3788,50,-760.0783563,psn
353.0367394,353.0364685,353.0369263,1287.1,1272.47,1306.13,28244621.57,27199206.88,2244783.75,97,51,-353.0367394,psn
130.0392531,130.0391998,130.0392914,1290.44,1277,1307.83,29130833.66,29102776.23,2227557.5,443,52,-130.0392531,psn
874.17299,874.1713867,874.1742554,1300.5,1292.12,1314.06,12911935.12,12911510.87,2207934,4229,53,-874.17299,psn
146.1036689,146.1030731,146.1043091,1290.44,1277,1312.36,19863773.88,18937345.46,2033520.25,13,54,-146.1036689,psn
151.062112,151.0620575,151.062149,1290.44,1273.61,1307.83,31766133.47,31130290.99,1948270.375,114,55,-151.062112,psn
378.1516586,378.1513367,378.1525574,1290.44,1280.39,1299.94,14194345.34,14194326.35,1836020.25,1836019,56,-378.1516586,psn
994.1573381,994.1561279,994.1624756,1299.94,1293.79,1306.13,7672671.441,7672660.783,1833876.25,1833875,57,-994.1573381,psn
317.0390983,317.0388184,317.0393982,1292.12,1280.39,1308.96,16580366.8,16580339.91,1619828.125,1619827,58,-317.0390983,psn
146.0711473,146.0705566,146.0718079,1290.44,1277,1306.13,18374811.91,18321885.66,1601469.625,125,59,-146.0711473,psn
146.0199304,146.0192719,146.0204773,1290.44,1278.13,1307.26,18100692.62,18097556.06,1589577.875,1260,60,-146.0199304,psn
129.0322282,129.0321808,129.0323334,1288.77,1276.43,1305.56,16609035.76,16593722.6,1572900.125,518,61,-129.0322282,psn
244.1189551,244.1187286,244.1190948,1301.62,1287.65,1319.14,17853561.03,17226353.51,1561876.625,27,62,-244.1189551,psn
104.0601587,104.0601273,104.0601959,1291,1291,1307.26,9407961.073,9405249.429,1533376,1019,63,-104.0601587,psn
103.0529031,103.0528717,103.0529404,1289.33,1277,1305.56,15529006.07,15519387.73,1487027,518,64,-103.0529031,psn
369.0105892,369.0103455,369.0110474,1287.1,1278.7,1307.26,20170029.48,20170000.92,1482859.5,1482858,65,-369.0105892,psn
744.1051635,744.1035156,744.1060791,1301.62,1294.35,1314.62,8684317.636,8683772.741,1443245,2154,66,-744.1051635,psn
284.0716999,284.0714722,284.0718079,1284.3,1267.94,1296.03,12295809.56,12290911.65,1440296.625,413,67,-284.0716999,psn
149.0526817,149.0526276,149.0527344,1291.56,1291.56,1307.83,8435180.275,8433759.626,1427846.25,1468,68,-149.0526817,psn
759.092706,759.0913086,759.0939941,1301.06,1294.35,1311.22,7887748.945,7887733.199,1331007.125,1331006,69,-759.092706,psn
350.0827509,350.0825195,350.0830383,1289.33,1276.43,1308.96,15789205.72,15789173.75,1323924.5,1323924,70,-350.0827509,psn
346.0212933,346.0211487,346.0214539,1289.89,1289.89,1305.56,9364612.305,9364596.075,1306265.125,1872242,71,-346.0212933,psn
233.1026377,233.1025696,233.1027985,1291,1278.7,1303.87,9995287.323,9968653.584,1248924.5,202,72,-233.1026377,psn
436.0949472,436.0944519,436.0953369,1307.83,1301.62,1321.4,12591239.51,12574111.9,1239505.125,328,73,-436.0949472,psn
397.9884575,397.9880676,397.9889832,1305.56,1291.56,1305.56,4207022.739,4053468.591,1222800.625,11,74,-397.9884575,psn
400.1335258,400.1330566,400.1339111,1290.44,1279.82,1298.26,10829639.46,10829621.58,1216219.625,1216219,75,-400.1335258,psn
188.0018058,188.001709,188.0018921,1291,1282.07,1302.74,10484699.62,10484679.5,1182428.375,1182427,76,-188.0018058,psn
665.1102553,665.1084595,665.1115723,1300.5,1292.68,1310.66,7138483.939,7138054.94,1176081,1888,77,-665.1102553,psn
542.058741,542.0580444,542.0603027,1299.94,1292.12,1309.53,7445870.911,7445854.624,1156010.125,1156009,78,-542.058741,psn
189.0878943,189.0877686,189.0882263,1291.56,1144.74,1344.05,30678269.28,24855265.44,1126615.625,37,79,-189.0878943,psn
246.1175752,246.1174164,246.1177521,1279.26,1267.38,1285.42,8113688.835,8106939.687,1123492.375,429,80,-246.1175752,psn
540.0386712,540.0378418,540.0392456,1300.5,1289.89,1312.92,7457386.515,7445842.968,1110298.125,115,81,-540.0386712,psn
269.0544892,269.0543213,269.0548096,1291,1274.74,1327.06,12285693.34,12112672.7,1099994.125,47,82,-269.0544892,psn
848.1136753,848.1119995,848.1150513,1298.82,1291.56,1307.26,6915216.404,6915201.265,1090829.625,1090829,83,-848.1136753,psn
335.0552622,335.0550842,335.0557556,1289.89,1282.63,1300.5,8904893.528,8904876.217,952685.75,952685,84,-335.0552622,psn
206.0124042,206.0123291,206.0124969,1291,1291,1304.43,5846535.243,5846522.932,938092.375,1238528,85,-206.0124042,psn
301.065214,301.0650024,301.0663452,1292.12,1280.95,1310.09,9834743.467,9833531.923,923233.875,1215,86,-301.065214,psn
